hostname,tic_id,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2_total,chi2_reduced,n_obs_bands,distance_pc,model_G,model_BP,model_RP,model_J,model_H,model_K,model_W1
HD 15337,120896927,0.8549619322434945,8638440416.684532,0.45611852147645177,0.06120821682051924,8.644006464518343,0.24303976263965438,8.887046227157997,2.962348742385999,7,44.812557220459,5.607183468837296,6.04889796453273,4.984325134135909,4.315365157520581,3.8889326312276538,3.7841742466934063,3.7503161482522622
WASP-77 A,1129033,0.9626654933192471,9101614053.376299,0.5,0.34060645202027673,58.746169564860594,0.8897702282649562,59.63593979312555,19.878646597708517,7,105.333251953125,4.972341639928543,5.408252876629086,4.372490703573609,3.6372717351479222,3.2455400627102824,3.1387019458754524,3.105767842884488
TOI-1224,299798795,0.4,210000000.00000012,,0.0,1e+30,2.6418792104077313e-29,1e+30,3.333333333333333e+29,7,37.2762184143066,,,,,,,
TOI-1062,299799658,0.9203204946763065,2495026699.051922,0.33999999416427534,0.0634683982726491,0.8099838736390831,0.040662099732386055,0.8506459733714692,0.2835486577904897,7,82.2769317626953,5.433416540885577,5.843993504590035,4.841070722884263,4.2075180005604,3.815292779923223,3.7178445596006524,3.6854886143761503
TOI-1601,139375960,1.5054999303293224,3900866161.0964484,0.24953856685471099,0.11578109505756401,2.1669591368920798,14.087480249013014,16.254439385905094,5.418146461968365,7,332.202056884766,2.922443258332971,3.2301312523355854,2.4426440940285765,1.9280592425219512,1.6563348331917789,1.5804109359493006,1.551491852572778
GPX-1,245392284,1.6801872811412342,2427294383.75131,0.5,0.0,249.67763759697195,574.5804084504994,824.2580460474713,274.7526820158238,7,665.676208496094,3.228373583469964,3.4699752083312942,2.809372210278405,2.4519911013307505,2.213981580439057,2.1473291271569304,2.118885179500632
TIC 4672985,4672985,1.014928848615295,7687100082.662604,0.17784017528420176,0.13775426476473465,0.18049830627343724,0.0017021877144835034,0.18220049398792074,0.06073349799597358,7,250.08186340332,4.451819271903617,4.790720711009027,3.9404845861964635,3.36233268049373,3.0625010249040723,2.9809784302688973,2.9522468098053953
TOI-3688 A,245509452,1.160825367543573,3224110865.2745314,0.20404829125841348,0.6420100769588255,22.10236853815672,0.006808492302810188,22.10917703045953,7.369725676819844,7,395.464294433594,4.365568614576931,4.791095410246387,3.8010429344354035,3.145691332627755,2.8338850077742754,2.7282888386395387,2.6960426776440083
TOI-4145 A,279947414,0.8898576503045028,4575076802.175313,0.49518099560574447,0.0,3.6600165387213233,0.1089006077881235,3.768917146509447,1.256305715503149,7,203.067611694336,5.513951248699377,5.932731333630357,4.910754897414243,4.242496310158296,3.8263150649911455,3.7258866391792176,3.691924901963035
TOI-2443,318753380,0.6851410753159348,6236889898.467002,-0.435291565809059,0.05546159536072422,2.7229756588565825,0.09836999414927108,2.821345653005854,1.410672826502927,6,23.8885612487793,7.1507947819705935,7.841613938198495,6.33582167189259,5.352935300663369,4.7505536205595185,4.624854648318115,4.593876799059812
WASP-138,35857242,1.1940993170586043,3627007024.750431,0.08254870334516251,0.06866419668470418,0.7929984066005697,0.07087820183200413,0.8638766084325739,0.28795886947752464,7,401.701507568359,3.663466272734103,3.9359315186022905,3.221238874257271,2.7651212845431585,2.5359004122429085,2.470101351150992,2.4420003203184435
TOI-558,207110080,1.3489742927429709,2005811488.6106863,0.5,0.059283019851155666,3.0958786152053643,0.31025872329866083,3.406137338504025,1.135379112834675,7,401.431457519531,3.3119722767338073,3.5574222725875315,2.896500054827919,2.5499352510877804,2.3166267005206485,2.2480846780795702,2.2194783271429204
HD 17156,302773669,1.2162680715033765,3771155060.974439,0.055336533741816664,0.19528072224865944,1.63653393068958,0.18218791434276427,1.8187218450323444,0.6062406150107814,7,77.314208984375,3.5980799685994818,3.8986664653288763,3.1357393225765438,2.645601831234705,2.407848793330147,2.3351585762952447,2.3063334810087155
TOI-4641,436873727,1.4100314468932484,3986355804.2260084,-1.0,0.0,4.862756981414425,3.3895058402671596,8.252262821681585,2.7507542738938615,7,87.3595962524414,2.725955648477247,2.9376561084572996,2.3527197057530014,2.025294302430609,1.9299250442317177,1.8982277103965943,1.8759624544910531
HAT-P-52,436875934,0.8640791377536954,8295945739.438557,0.38296515576738416,0.6432776057191736,2.571002008602003,0.08363972999356722,2.6546417385955703,0.8848805795318567,7,359.239929199219,5.995881760164042,6.570717570061031,5.27142081966375,4.439997565474306,3.963981533411615,3.8257342806389243,3.788560440053105
HR 858,178155732,1.213576058032039,1746496607.2861283,0.21388173644605035,0.0,1.6349146511645836,0.21427903935431783,1.8491936905189015,0.6163978968396339,7,31.6824340820313,3.7648322507404774,4.011725220379674,3.342644353908124,2.9402151989738634,2.716889736421744,2.6540357140034647,2.6258021773136484
